city,date,temp_c,humidity,condition
London,2024-11-05 00:00,10.5,78,Clear
London,2024-11-05 01:00,10.4,78,Clear
London,2024-11-05 02:00,10.4,78,Partly cloudy
London,2024-11-05 03:00,10.5,77,Overcast
London,2024-11-05 04:00,10.4,77,Overcast
London,2024-11-05 05:00,10.3,76,Overcast
London,2024-11-05 06:00,10.2,76,Overcast
London,2024-11-05 07:00,10.1,76,Overcast
London,2024-11-05 08:00,10.7,73,Overcast
London,2024-11-05 09:00,11.5,70,Overcast
London,2024-11-05 10:00,12.6,66,Overcast
London,2024-11-05 11:00,13.5,62,Partly cloudy
London,2024-11-05 12:00,14.5,59,Partly cloudy
London,2024-11-05 13:00,15.3,57,Sunny
London,2024-11-05 14:00,15.6,57,Sunny
London,2024-11-05 15:00,15.4,60,Sunny
London,2024-11-05 16:00,14.3,64,Sunny
London,2024-11-05 17:00,13.6,68,Clear
London,2024-11-05 18:00,13.3,71,Clear
London,2024-11-05 19:00,12.9,75,Clear
London,2024-11-05 20:00,12.6,78,Clear
London,2024-11-05 21:00,12.3,81,Clear
London,2024-11-05 22:00,12.1,83,Clear
London,2024-11-05 23:00,11.8,85,Clear
London,2024-11-06 00:00,11.5,84,Partly cloudy
London,2024-11-06 01:00,11.3,85,Clear
London,2024-11-06 02:00,11.2,85,Clear
London,2024-11-06 03:00,11.0,85,Clear
London,2024-11-06 04:00,10.9,86,Clear
London,2024-11-06 05:00,10.8,86,Clear
London,2024-11-06 06:00,10.7,88,Clear
London,2024-11-06 07:00,10.6,89,Clear
London,2024-11-06 08:00,11.1,88,Partly cloudy
London,2024-11-06 09:00,12.2,84,Sunny
London,2024-11-06 10:00,13.4,79,Sunny
London,2024-11-06 11:00,14.5,76,Sunny
London,2024-11-06 12:00,15.4,72,Sunny
London,2024-11-06 13:00,16.0,70,Sunny
London,2024-11-06 14:00,16.2,69,Sunny
London,2024-11-06 15:00,16.0,71,Sunny
London,2024-11-06 16:00,14.8,76,Sunny
London,2024-11-06 17:00,14.1,79,Clear
London,2024-11-06 18:00,13.7,81,Clear
London,2024-11-06 19:00,13.4,82,Clear
London,2024-11-06 20:00,13.0,84,Clear
London,2024-11-06 21:00,12.7,85,Clear
London,2024-11-06 22:00,12.4,87,Clear
London,2024-11-06 23:00,12.1,88,Clear
London,2024-11-07 00:00,11.9,90,Clear
London,2024-11-07 01:00,11.7,91,Clear
London,2024-11-07 02:00,11.5,91,Clear
London,2024-11-07 03:00,11.3,91,Clear
London,2024-11-07 04:00,11.1,89,Clear
London,2024-11-07 05:00,10.9,87,Clear
London,2024-11-07 06:00,10.8,85,Clear
London,2024-11-07 07:00,10.6,85,Clear
London,2024-11-07 08:00,10.8,84,Sunny
London,2024-11-07 09:00,12.0,78,Sunny
London,2024-11-07 10:00,13.4,70,Sunny
London,2024-11-07 11:00,14.5,63,Sunny
London,2024-11-07 12:00,15.4,59,Sunny
London,2024-11-07 13:00,15.9,56,Sunny
London,2024-11-07 14:00,16.0,57,Sunny
London,2024-11-07 15:00,15.5,60,Sunny
London,2024-11-07 16:00,14.1,68,Sunny
London,2024-11-07 17:00,12.9,74,Clear
London,2024-11-07 18:00,12.4,77,Clear
London,2024-11-07 19:00,12.0,78,Clear
London,2024-11-07 20:00,11.7,77,Clear
London,2024-11-07 21:00,11.3,78,Clear
London,2024-11-07 22:00,10.9,78,Clear
London,2024-11-07 23:00,10.6,78,Clear
London,2024-11-08 00:00,10.4,78,Clear
London,2024-11-08 01:00,10.2,77,Clear
London,2024-11-08 02:00,10.0,77,Clear
London,2024-11-08 03:00,9.8,76,Clear
London,2024-11-08 04:00,9.6,77,Clear
London,2024-11-08 05:00,9.4,78,Clear
London,2024-11-08 06:00,9.4,78,Clear
London,2024-11-08 07:00,9.4,79,Clear
London,2024-11-08 08:00,9.6,78,Sunny
London,2024-11-08 09:00,10.5,74,Sunny
London,2024-11-08 10:00,11.7,69,Sunny
London,2024-11-08 11:00,12.7,64,Sunny
London,2024-11-08 12:00,13.5,59,Sunny
London,2024-11-08 13:00,13.9,55,Sunny
London,2024-11-08 14:00,13.9,54,Sunny
London,2024-11-08 15:00,13.6,56,Sunny
London,2024-11-08 16:00,12.6,61,Sunny
London,2024-11-08 17:00,12.0,65,Clear
London,2024-11-08 18:00,11.6,69,Clear
London,2024-11-08 19:00,11.1,72,Clear
London,2024-11-08 20:00,10.8,75,Clear
London,2024-11-08 21:00,10.5,77,Clear
London,2024-11-08 22:00,10.2,79,Clear
London,2024-11-08 23:00,10.0,79,Clear
London,2024-11-09 00:00,7.9,83,Clear
London,2024-11-09 01:00,7.7,84,Clear
London,2024-11-09 02:00,7.5,85,Clear
London,2024-11-09 03:00,7.3,85,Clear
London,2024-11-09 04:00,7.2,86,Clear
London,2024-11-09 05:00,7.1,86,Clear
London,2024-11-09 06:00,6.9,86,Clear
London,2024-11-09 07:00,6.8,86,Clear
London,2024-11-09 08:00,7.1,84,Sunny
London,2024-11-09 09:00,8.1,78,Sunny
London,2024-11-09 10:00,9.2,71,Sunny
London,2024-11-09 11:00,10.3,65,Sunny
London,2024-11-09 12:00,11.2,60,Sunny
London,2024-11-09 13:00,11.9,57,Sunny
London,2024-11-09 14:00,12.2,56,Sunny
London,2024-11-09 15:00,12.0,57,Sunny
London,2024-11-09 16:00,11.0,61,Sunny
London,2024-11-09 17:00,10.4,64,Clear
London,2024-11-09 18:00,10.0,66,Clear
London,2024-11-09 19:00,9.7,68,Clear
London,2024-11-09 20:00,9.4,69,Clear
London,2024-11-09 21:00,9.2,71,Clear
London,2024-11-09 22:00,8.9,73,Clear
London,2024-11-09 23:00,8.7,76,Clear
London,2024-11-10 00:00,8.9,74,Cloudy
London,2024-11-10 01:00,9.0,74,Cloudy
London,2024-11-10 02:00,9.3,73,Overcast
London,2024-11-10 03:00,9.4,73,Overcast
London,2024-11-10 04:00,9.5,73,Cloudy
London,2024-11-10 05:00,9.5,72,Cloudy
London,2024-11-10 06:00,9.6,73,Cloudy
London,2024-11-10 07:00,9.7,73,Partly cloudy
London,2024-11-10 08:00,9.9,72,Overcast
London,2024-11-10 09:00,10.2,72,Overcast
London,2024-11-10 10:00,10.6,71,Overcast
London,2024-11-10 11:00,10.9,71,Overcast
London,2024-11-10 12:00,11.3,73,Overcast
